listing_id,country,city,zone_id,zone_name,level,property_type,class,bedrooms,surface_m2,price_total_eur,price_eur_m2,price_eur_m2_basis,currency,buyer_domicile,dom_days,gross_yield_pct,lat,lon,as_of,calibrated_on,price_confidence,surface_confidence,eur_m2_confidence,position_confidence,yield_confidence,synthetic
BE-anderlecht-0000,be,bruxelles,anderlecht,Anderlecht,commune,Appartement,apartment,2,77,262214,3405,bati_habitable,EUR,,153,4.71,50.83539,4.31747,2025,bruxelles/anderlecht | median €/m² | as_of 2025,simule,simule,simule,simule,rapport,true
BE-anderlecht-0001,be,bruxelles,anderlecht,Anderlecht,commune,Appartement,apartment,1,89,258698,2907,bati_habitable,EUR,,37,2.63,50.83054,4.31374,2025,bruxelles/anderlecht | median €/m² | as_of 2025,simule,simule,simule,simule,rapport,true
BE-anderlecht-0002,be,bruxelles,anderlecht,Anderlecht,commune,Appartement,apartment,2,92,258373,2808,bati_habitable,EUR,,75,4.56,50.84729,4.31988,2025,bruxelles/anderlecht | median €/m² | as_of 2025,simule,simule,simule,simule,rapport,true
BE-anderlecht-0003,be,bruxelles,anderlecht,Anderlecht,commune,Appartement,apartment,3,101,310587,3075,bati_habitable,EUR,,111,3.49,50.83153,4.31451,2025,bruxelles/anderlecht | median €/m² | as_of 2025,simule,simule,simule,simule,rapport,true
BE-anderlecht-0004,be,bruxelles,anderlecht,Anderlecht,commune,Appartement,apartment,2,77,220518,2864,bati_habitable,EUR,,74,3.45,50.82506,4.31265,2025,bruxelles/anderlecht | median €/m² | as_of 2025,simule,simule,simule,simule,rapport,true
BE-anderlecht-0005,be,bruxelles,anderlecht,Anderlecht,commune,Appartement,apartment,1,100,339001,3390,bati_habitable,EUR,,67,3.05,50.83795,4.31249,2025,bruxelles/anderlecht | median €/m² | as_of 2025,simule,simule,simule,simule,rapport,true
BE-anderlecht-0006,be,bruxelles,anderlecht,Anderlecht,commune,Appartement,apartment,0,78,214089,2745,bati_habitable,EUR,,103,3.51,50.83628,4.31527,2025,bruxelles/anderlecht | median €/m² | as_of 2025,simule,simule,simule,simule,rapport,true
BE-anderlecht-0007,be,bruxelles,anderlecht,Anderlecht,commune,Appartement,apartment,2,68,169412,2491,bati_habitable,EUR,,83,3.75,50.83633,4.32329,2025,bruxelles/anderlecht | median €/m² | as_of 2025,simule,simule,simule,simule,rapport,true
BE-anderlecht-0008,be,bruxelles,anderlecht,Anderlecht,commune,Appartement,apartment,1,78,273531,3507,bati_habitable,EUR,,82,4.01,50.83011,4.31089,2025,bruxelles/anderlecht | median €/m² | as_of 2025,simule,simule,simule,simule,rapport,true
BE-anderlecht-0009,be,bruxelles,anderlecht,Anderlecht,commune,Appartement,apartment,1,54,261746,4847,bati_habitable,EUR,,124,3.58,50.83563,4.31053,2025,bruxelles/anderlecht | median €/m² | as_of 2025,simule,simule,simule,simule,rapport,true
BE-anderlecht-0010,be,bruxelles,anderlecht,Anderlecht,commune,Appartement,apartment,0,84,188765,2247,bati_habitable,EUR,,91,3.74,50.83993,4.30846,2025,bruxelles/anderlecht | median €/m² | as_of 2025,simule,simule,simule,simule,rapport,true
