listing_id,country,city,zone_id,zone_name,level,property_type,class,bedrooms,surface_m2,price_total_eur,price_eur_m2,price_eur_m2_basis,currency,buyer_domicile,dom_days,gross_yield_pct,lat,lon,as_of,calibrated_on,price_confidence,surface_confidence,eur_m2_confidence,position_confidence,yield_confidence,synthetic
PT-arcozelo-0000,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T4,apartment,4,148,286285,1934,bati_habitable,EUR,nacional,89,5.25,41.12477,-8.60607,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0001,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,107,201017,1879,bati_habitable,EUR,nacional,100,6.52,41.13434,-8.61737,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0002,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T3,apartment,3,111,245161,2209,bati_habitable,EUR,nacional,94,4.08,41.13044,-8.62065,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0003,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T4,apartment,4,141,333500,2365,bati_habitable,EUR,estrangeiro,91,4.66,41.1239,-8.61214,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0004,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,97,231272,2384,bati_habitable,EUR,estrangeiro,74,5.09,41.12006,-8.61438,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0005,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T3,apartment,3,107,201941,1887,bati_habitable,EUR,nacional,72,5.68,41.12274,-8.62801,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0006,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,77,135575,1761,bati_habitable,EUR,nacional,90,4.19,41.11575,-8.63071,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0007,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,81,114461,1413,bati_habitable,EUR,nacional,138,5.29,41.10789,-8.64244,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0008,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T3,apartment,3,117,306372,2619,bati_habitable,EUR,nacional,74,5.18,41.12839,-8.62919,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0009,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T3,apartment,3,104,223048,2145,bati_habitable,EUR,nacional,58,5.51,41.13976,-8.59405,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0010,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,78,154713,1983,bati_habitable,EUR,nacional,94,4.82,41.14427,-8.58934,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0011,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,72,169423,2353,bati_habitable,EUR,nacional,30,5.19,41.13322,-8.61888,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
PT-arcozelo-0012,pt,gaia,arcozelo,Arcozelo,freguesia,Apartamento T2,apartment,2,88,203088,2308,bati_habitable,EUR,estrangeiro,57,4.36,41.10694,-8.60991,2025-Q4,gaia/arcozelo | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.41,simule,simule,simule,simule,rapport,true
