listing_id,country,city,zone_id,zone_name,level,property_type,class,bedrooms,surface_m2,price_total_eur,price_eur_m2,price_eur_m2_basis,currency,buyer_domicile,dom_days,gross_yield_pct,lat,lon,as_of,calibrated_on,price_confidence,surface_confidence,eur_m2_confidence,position_confidence,yield_confidence,synthetic
PT-ajuda-0000,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T3,apartment,3,113,602459,5331,bati_habitable,EUR,nacional,110,5.15,38.73112,-9.16166,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0001,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T3,apartment,3,77,374913,4869,bati_habitable,EUR,nacional,84,4.49,38.70863,-9.15109,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0002,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T3,apartment,3,130,1006221,7740,bati_habitable,EUR,estrangeiro,73,4.36,38.69874,-9.14931,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0003,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,89,352782,3964,bati_habitable,EUR,nacional,53,4.67,38.73952,-9.15437,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0004,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T1,apartment,1,55,259984,4727,bati_habitable,EUR,nacional,85,5.59,38.69165,-9.13165,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0005,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T1,apartment,1,74,288341,3897,bati_habitable,EUR,nacional,76,3.72,38.73842,-9.12462,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0006,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,102,471812,4626,bati_habitable,EUR,nacional,57,4.34,38.69192,-9.14817,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0007,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,92,367291,3992,bati_habitable,EUR,nacional,67,4.74,38.73673,-9.12715,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0008,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,79,482047,6102,bati_habitable,EUR,nacional,44,4.21,38.671,-9.15402,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0009,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T4,apartment,4,151,796480,5275,bati_habitable,EUR,nacional,91,3.53,38.71793,-9.15607,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0010,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,79,339868,4302,bati_habitable,EUR,nacional,48,4.36,38.73213,-9.13328,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0011,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T2,apartment,2,81,473516,5846,bati_habitable,EUR,nacional,70,5.38,38.73932,-9.13165,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-ajuda-0012,pt,lisbonne,ajuda,Ajuda,freguesia,Apartamento T4,apartment,4,133,498901,3751,bati_habitable,EUR,nacional,65,4.43,38.73304,-9.14363,2025-Q4,lisbonne/ajuda | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
