listing_id,country,city,zone_id,zone_name,level,property_type,class,bedrooms,surface_m2,price_total_eur,price_eur_m2,price_eur_m2_basis,currency,buyer_domicile,dom_days,gross_yield_pct,lat,lon,as_of,calibrated_on,price_confidence,surface_confidence,eur_m2_confidence,position_confidence,yield_confidence,synthetic
PT-aldoarfoznevogilde-0000,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T1,apartment,1,51,167218,3279,bati_habitable,EUR,nacional,86,4.26,41.16282,-8.61786,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0001,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T1,apartment,1,49,164910,3366,bati_habitable,EUR,nacional,41,4.45,41.17417,-8.61992,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0002,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T2,apartment,2,76,320963,4223,bati_habitable,EUR,nacional,93,3.82,41.144,-8.63178,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0003,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T2,apartment,2,76,354324,4662,bati_habitable,EUR,nacional,146,5.68,41.16317,-8.60423,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0004,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,109,369294,3388,bati_habitable,EUR,nacional,41,6.21,41.16093,-8.64222,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0005,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T1,apartment,1,49,193675,3953,bati_habitable,EUR,nacional,57,5.7,41.16126,-8.62665,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0006,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T1,apartment,1,71,236543,3332,bati_habitable,EUR,nacional,65,4.22,41.1533,-8.62919,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0007,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,121,514265,4250,bati_habitable,EUR,nacional,78,6.13,41.15863,-8.61759,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0008,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T2,apartment,2,95,387647,4080,bati_habitable,EUR,nacional,81,5.13,41.15991,-8.60251,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0009,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T2,apartment,2,69,233457,3383,bati_habitable,EUR,nacional,64,5.65,41.17036,-8.61508,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0010,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T3,apartment,3,85,296791,3492,bati_habitable,EUR,nacional,51,5.33,41.16331,-8.64515,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
PT-aldoarfoznevogilde-0011,pt,porto,aldoarfoznevogilde,"Aldoar, Foz do Douro e Nevogilde",freguesia,Apartamento T1,apartment,1,51,181397,3557,bati_habitable,EUR,nacional,48,5.26,41.14989,-8.61421,2025-Q4,porto/aldoarfoznevogilde | median €/m² | as_of 2025-Q4 | domicile_share=proxy | premium=1.00,simule,simule,simule,simule,rapport,true
