city,zone_id,zone_name,level,geo_code,as_of,median_eur_m2_total,median_eur_m2_apartments,median_eur_m2_national,median_eur_m2_foreign,median_eur_m2_total_prev,as_of_prev,n_transactions,n_source,yoy_pct,yoy_confidence,status,confidence,source,source_url,collected_at
alcochete,alcochete,Alcochete,municipio,1B01502,2025-Q4,2765,2682,,,2106,2024-Q4,262,0014363,31.3,derive,real,officiel,ine_local,https://www.ine.pt/ine/json_indicador/pindica.jsp,2026-07-01T13:02:43+00:00
gaia,arcozelo,Arcozelo,freguesia,11A131701,2025-Q4,2286,2292,,,1885,2024-Q4,205,0014363,21.3,derive,real,officiel,ine_local,https://www.ine.pt/ine/json_indicador/pindica.jsp,2026-07-01T13:02:43+00:00
gaia,avintes,Avintes,freguesia,11A131702,2025-Q4,2058,2259,,,1682,2024-Q4,158,0014363,22.4,derive,real,officiel,ine_local,https://www.ine.pt/ine/json_indicador/pindica.jsp,2026-07-01T13:02:43+00:00
gaia,canelas,Canelas,freguesia,11A131703,2025-Q4,2060,2087,,,1744,2024-Q4,191,0014363,18.1,derive,real,officiel,ine_local,https://www.ine.pt/ine/json_indicador/pindica.jsp,2026-07-01T13:02:43+00:00
gaia,canidelo,Canidelo,freguesia,11A131704,2025-Q4,3145,3211,,,2500,2024-Q4,834,0014363,25.8,derive,real,officiel,ine_local,https://www.ine.pt/ine/json_indicador/pindica.jsp,2026-07-01T13:02:43+00:00
gaia,grijoesermonde,União das freguesias de Grijó e Sermonde,freguesia,11A131725,2025-Q4,1927,1956,,,1838,2024-Q4,139,0014363,4.8,derive,real,officiel,ine_local,https://www.ine.pt/ine/json_indicador/pindica.jsp,2026-07-01T13:02:43+00:00
gaia,gulpilharesevaladares,União das freguesias de Gulpilhares e Valadares,freguesia,11A131726,2025-Q4,2249,2250,,,1958,2024-Q4,296,0014363,14.9,derive,real,officiel,ine_local,https://www.ine.pt/ine/json_indicador/pindica.jsp,2026-07-01T13:02:43+00:00
gaia,madalena,Madalena,freguesia,11A131709,2025-Q4,2849,2886,,,2325,2024-Q4,337,0014363,22.5,derive,real,officiel,ine_local,https://www.ine.pt/ine/json_indicador/pindica.jsp,2026-07-01T13:02:43+00:00
gaia,mafamudeevilardoparaiso,União das freguesias de Mafamude e Vilar do Paraíso,freguesia,11A131727,2025-Q4,2548,2602,,,2242,2024-Q4,1108,0014363,13.6,derive,real,officiel,ine_local,https://www.ine.pt/ine/json_indicador/pindica.jsp,2026-07-01T13:02:43+00:00
gaia,oliveiradodouro,Oliveira do Douro,freguesia,11A131712,2025-Q4,2288,2405,,,2209,2024-Q4,549,0014363,3.6,derive,real,officiel,ine_local,https://www.ine.pt/ine/json_indicador/pindica.jsp,2026-07-01T13:02:43+00:00
gaia,pedrosoeseixezelo,União das freguesias de Pedroso e Seixezelo,freguesia,11A131728,2025-Q4,1964,2120,,,1674,2024-Q4,246,0014363,17.3,derive,real,officiel,ine_local,https://www.ine.pt/ine/json_indicador/pindica.jsp,2026-07-01T13:02:43+00:00
gaia,"sandim,olival,leverecrestuma","União das freguesias de Sandim, Olival, Lever e Crestuma",freguesia,11A131729,2025-Q4,1797,2614,,,1538,2024-Q4,136,0014363,16.8,derive,real,officiel,ine_local,https://www.ine.pt/ine/json_indicador/pindica.jsp,2026-07-01T13:02:43+00:00
gaia,santamarinhaesaopedrodaafurada,União das freguesias de Santa Marinha e São Pedro da Afurada,freguesia,11A131730,2025-Q4,2721,2754,,,2361,2024-Q4,778,0014363,15.2,derive,real,officiel,ine_local,https://www.ine.pt/ine/json_indicador/pindica.jsp,2026-07-01T13:02:43+00:00
gaia,saofelixdamarinha,São Félix da Marinha,freguesia,11A131717,2025-Q4,2279,2293,,,2007,2024-Q4,176,0014363,13.6,derive,real,officiel,ine_local,https://www.ine.pt/ine/json_indicador/pindica.jsp,2026-07-01T13:02:43+00:00
