city,zone_id,zone_name,level,nis5,nis9,property_type,as_of,n_transactions,total_price_eur,total_surface_m2,eur_m2_derived,median_total_eur,p10,q25,q50,q75,p90,quantiles_basis,status,confidence,source,source_url,collected_at
bruxelles,21001,21001,commune,21001,,Maisons avec 4 ou plus de façades (type ouvert),2025,,,,,,,,,,,,a_collecter,a_collecter,statbel_cadastre,,2026-07-01T13:02:44+00:00
bruxelles,21001a32k,21001A32K,secteur_statistique,21001,21001A32K,Appartements,2024,59,,,,165000,117000,137000,165000,186000,205000,total_price_eur,real,officiel,statbel_cadastre,https://statbel.fgov.be/sites/default/files/files/opendata/Immo%20sector/TF_IMMO_SECTOR.zip,2026-07-01T13:02:46+00:00
bruxelles,21001a41k,21001A41K,secteur_statistique,21001,21001A41K,Appartements,2024,24,,,,186000,137000,152500,186000,225000,235000,total_price_eur,real,officiel,statbel_cadastre,https://statbel.fgov.be/sites/default/files/files/opendata/Immo%20sector/TF_IMMO_SECTOR.zip,2026-07-01T13:02:46+00:00
bruxelles,21001a50k,21001A50K,secteur_statistique,21001,21001A50K,Appartements,2024,40,,,,182250,136000,151250,182250,205000,230000,total_price_eur,real,officiel,statbel_cadastre,https://statbel.fgov.be/sites/default/files/files/opendata/Immo%20sector/TF_IMMO_SECTOR.zip,2026-07-01T13:02:46+00:00
bruxelles,21001a51k,21001A51K,secteur_statistique,21001,21001A51K,Appartements,2024,24,,,,207000,130000,153000,207000,249000,270000,total_price_eur,real,officiel,statbel_cadastre,https://statbel.fgov.be/sites/default/files/files/opendata/Immo%20sector/TF_IMMO_SECTOR.zip,2026-07-01T13:02:46+00:00
bruxelles,21001a81l,21001A81L,secteur_statistique,21001,21001A81L,Appartements,2024,26,,,,232500,118000,180000,232500,260000,284500,total_price_eur,real,officiel,statbel_cadastre,https://statbel.fgov.be/sites/default/files/files/opendata/Immo%20sector/TF_IMMO_SECTOR.zip,2026-07-01T13:02:46+00:00
bruxelles,21002,21002,commune,21002,,Maisons avec 4 ou plus de façades (type ouvert),2025,,,,,,,,,,,,a_collecter,a_collecter,statbel_cadastre,,2026-07-01T13:02:44+00:00
bruxelles,21002a21,21002A21-,secteur_statistique,21002,21002A21-,Appartements,2024,40,,,,325000,225000,268750,325000,350000,400000,total_price_eur,real,officiel,statbel_cadastre,https://statbel.fgov.be/sites/default/files/files/opendata/Immo%20sector/TF_IMMO_SECTOR.zip,2026-07-01T13:02:46+00:00
bruxelles,21002a43,21002A43-,secteur_statistique,21002,21002A43-,Appartements,2024,26,,,,370000,175000,287500,370000,460000,605000,total_price_eur,real,officiel,statbel_cadastre,https://statbel.fgov.be/sites/default/files/files/opendata/Immo%20sector/TF_IMMO_SECTOR.zip,2026-07-01T13:02:46+00:00
bruxelles,21002a511,21002A511,secteur_statistique,21002,21002A511,Appartements,2024,21,,,,311250,224000,278500,311250,397500,469000,total_price_eur,real,officiel,statbel_cadastre,https://statbel.fgov.be/sites/default/files/files/opendata/Immo%20sector/TF_IMMO_SECTOR.zip,2026-07-01T13:02:46+00:00
