nis5,commune_name,class,mean_surface_m2,n_transactions,surface_as_of,status,source,source_url,collected_at
21001,ANDERLECHT,house,211.2,307,2017,real,statbel_surface,https://statbel.fgov.be/sites/default/files/files/opendata/Verkoop%20van%20onroerende%20goederen%20per%20gemeente%20%282010-2019%29/immo_by_municipality_2010-2019.zip,2026-07-01T13:02:47+00:00
21002,AUDERGHEM,house,192.7,152,2017,real,statbel_surface,https://statbel.fgov.be/sites/default/files/files/opendata/Verkoop%20van%20onroerende%20goederen%20per%20gemeente%20%282010-2019%29/immo_by_municipality_2010-2019.zip,2026-07-01T13:02:47+00:00
21003,BERCHEM-SAINTE-AGATHE,house,196.7,104,2017,real,statbel_surface,https://statbel.fgov.be/sites/default/files/files/opendata/Verkoop%20van%20onroerende%20goederen%20per%20gemeente%20%282010-2019%29/immo_by_municipality_2010-2019.zip,2026-07-01T13:02:47+00:00
21004,BRUXELLES,house,208.3,371,2017,real,statbel_surface,https://statbel.fgov.be/sites/default/files/files/opendata/Verkoop%20van%20onroerende%20goederen%20per%20gemeente%20%282010-2019%29/immo_by_municipality_2010-2019.zip,2026-07-01T13:02:47+00:00
21005,ETTERBEEK,house,133.9,111,2017,real,statbel_surface,https://statbel.fgov.be/sites/default/files/files/opendata/Verkoop%20van%20onroerende%20goederen%20per%20gemeente%20%282010-2019%29/immo_by_municipality_2010-2019.zip,2026-07-01T13:02:47+00:00
21006,EVERE,house,258.1,86,2017,real,statbel_surface,https://statbel.fgov.be/sites/default/files/files/opendata/Verkoop%20van%20onroerende%20goederen%20per%20gemeente%20%282010-2019%29/immo_by_municipality_2010-2019.zip,2026-07-01T13:02:47+00:00
21007,FOREST,house,181.0,132,2017,real,statbel_surface,https://statbel.fgov.be/sites/default/files/files/opendata/Verkoop%20van%20onroerende%20goederen%20per%20gemeente%20%282010-2019%29/immo_by_municipality_2010-2019.zip,2026-07-01T13:02:47+00:00
21008,GANSHOREN,house,264.2,50,2017,real,statbel_surface,https://statbel.fgov.be/sites/default/files/files/opendata/Verkoop%20van%20onroerende%20goederen%20per%20gemeente%20%282010-2019%29/immo_by_municipality_2010-2019.zip,2026-07-01T13:02:47+00:00
21009,IXELLES,house,161.6,183,2017,real,statbel_surface,https://statbel.fgov.be/sites/default/files/files/opendata/Verkoop%20van%20onroerende%20goederen%20per%20gemeente%20%282010-2019%29/immo_by_municipality_2010-2019.zip,2026-07-01T13:02:47+00:00
21010,JETTE,house,156.9,129,2017,real,statbel_surface,https://statbel.fgov.be/sites/default/files/files/opendata/Verkoop%20van%20onroerende%20goederen%20per%20gemeente%20%282010-2019%29/immo_by_municipality_2010-2019.zip,2026-07-01T13:02:47+00:00
21011,KOEKELBERG,house,165.4,42,2017,real,statbel_surface,https://statbel.fgov.be/sites/default/files/files/opendata/Verkoop%20van%20onroerende%20goederen%20per%20gemeente%20%282010-2019%29/immo_by_municipality_2010-2019.zip,2026-07-01T13:02:47+00:00
21012,MOLENBEEK-SAINT-JEAN,house,155.9,123,2017,real,statbel_surface,https://statbel.fgov.be/sites/default/files/files/opendata/Verkoop%20van%20onroerende%20goederen%20per%20gemeente%20%282010-2019%29/immo_by_municipality_2010-2019.zip,2026-07-01T13:02:47+00:00
21013,SAINT-GILLES,house,129.7,105,2017,real,statbel_surface,https://statbel.fgov.be/sites/default/files/files/opendata/Verkoop%20van%20onroerende%20goederen%20per%20gemeente%20%282010-2019%29/immo_by_municipality_2010-2019.zip,2026-07-01T13:02:47+00:00
21014,SAINT-JOSSE-TEN-NOODE,house,115.9,38,2017,real,statbel_surface,https://statbel.fgov.be/sites/default/files/files/opendata/Verkoop%20van%20onroerende%20goederen%20per%20gemeente%20%282010-2019%29/immo_by_municipality_2010-2019.zip,2026-07-01T13:02:47+00:00
21015,SCHAERBEEK,house,159.1,296,2017,real,statbel_surface,https://statbel.fgov.be/sites/default/files/files/opendata/Verkoop%20van%20onroerende%20goederen%20per%20gemeente%20%282010-2019%29/immo_by_municipality_2010-2019.zip,2026-07-01T13:02:47+00:00
21016,UCCLE,house,435.8,327,2017,real,statbel_surface,https://statbel.fgov.be/sites/default/files/files/opendata/Verkoop%20van%20onroerende%20goederen%20per%20gemeente%20%282010-2019%29/immo_by_municipality_2010-2019.zip,2026-07-01T13:02:47+00:00
21017,WATERMAEL-BOITSFORT,house,267.4,150,2017,real,statbel_surface,https://statbel.fgov.be/sites/default/files/files/opendata/Verkoop%20van%20onroerende%20goederen%20per%20gemeente%20%282010-2019%29/immo_by_municipality_2010-2019.zip,2026-07-01T13:02:47+00:00
21018,WOLUWE-SAINT-LAMBERT,house,204.7,149,2017,real,statbel_surface,https://statbel.fgov.be/sites/default/files/files/opendata/Verkoop%20van%20onroerende%20goederen%20per%20gemeente%20%282010-2019%29/immo_by_municipality_2010-2019.zip,2026-07-01T13:02:47+00:00
21019,WOLUWE-SAINT-PIERRE,house,398.2,189,2017,real,statbel_surface,https://statbel.fgov.be/sites/default/files/files/opendata/Verkoop%20van%20onroerende%20goederen%20per%20gemeente%20%282010-2019%29/immo_by_municipality_2010-2019.zip,2026-07-01T13:02:47+00:00
25068,MONT-SAINT-GUIBERT,house,1002.8,40,2017,real,statbel_surface,https://statbel.fgov.be/sites/default/files/files/opendata/Verkoop%20van%20onroerende%20goederen%20per%20gemeente%20%282010-2019%29/immo_by_municipality_2010-2019.zip,2026-07-01T13:02:47+00:00
